TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
,Kypton Norris,Hilliard Bradley ,,,,6'1'',,,,,129,,,,,,,,
,Eddison Floyd,Bullis School ,,,,6'4'',,,,,131,,,,,,,,
,Chase Smith,Queens Grant,,,,6'8'',,,,,132,,,,,,,,
,Jordan Mitchell,Male ,,,,6'4'',,,,,133,,,,,,,,
,Parks Weaver,Folsom,,,,6'3'',,,,,134,,,,,,,,
,Jaden McCullough,Lamar,,,,6'4'',,,,,136,,,,,,,,
,Braylon Williams,Bartlett,,,,6'0'',,,,,137,,,,,,,,
,Zane Zilliax,Bush,,,,6'8'',,,,,139,,,,,,,,
,Justin Gray Jr,Carolina Forest,,,,6'3'',,,,,140,,,,,,,,
,Anthony Key,Atascocita,,,,6'7'',,,,,141,,,,,,,,
,Jadah Washington,Sidwell Friends,,,,6'0'',,,,,142,,,,,,,,
,King Hernandez,Walker School,,,,6'1'',,,,,143,,,,,,,,
,Abraham Taiwo,Sunrise Christian,,,,6'8'',,,,,144,,,,,,,,
,Marquise Bryant,Bellaire,,,,6'1'',,,,,145,,,,,,,,
,Lee Robinson,Eagle Academy ,,,,6'1'',,,,,146,,,,,,,,
,Daniel Gilhool,William Penn Charter,,,,6'9'',,,,,147,,,,,,,,
,Quentin Mosby,Lakeside,,,,6'1'',,,,,148,,,,,,,,
,Jordan Jackson,St. Xavier,,,,"6'7""",,,,,149,,,,,,,,
,Jakobi Oware,Long Beach Poly ,,,,6'6'',,,,,150,,,,,,,,
, August Engelhardt Moller,Falcons BC (DEN),?,,,"6'9""",,,,,,,,,,,,,
,Alejandro Tovar,Zarazoga (ESP),?,Primary Ball Handler,,"5'10""",,,,,,,,,,,,,
,Ayomide Ajayi,London Cavs (ITA),?,Skilled Forward,,"6'9""",,,,,,,,,,,,,
,Baptiste Moussa Manel,Dubai BC (SEN),?,Play Finishing Big,Rim Protector,"6'11""",,,,,,,,,,,,,
,Benjamin Kuranovic,FCN Wels (AUT),?,Skilled Forward,Helper,"6'7""",,,,,,,,,,,,,
,Danny Egbe,Hamburg (GER),?,,,"6'5""",,,,,,,,,,,,,
,David Ezema,Orange1 Bassano (NGA),?,Play Finishing Forward,,"6'7""",,,,,,,,,,,,,
,Diego Illardi,Trento (ITA),?,,,"6'4""",,,,,,,,,,,,,
,Emanuel Destom,Barcelona (FRA),?,,,"6'6""",,,,,,,,,,,,,
,Filip Mrjden,KK Mega (SRB),?,,,"6'3""",,,,,,,,,,,,,
,Ilian Toholin,INSEP (FRA),?,Scoring Guard,,"6'7""",,,,,,,,,,,,,
,Izan Perez,Joventut (ESP),?,Scoring Guard,,"6'4""",,,,,,,,,,,,,
,Johnty Dynan,Tasmania (AUS),?,,,"6'8""",,,,,,,,,,,,,
,Kingston Montague,Basha,?,Primary Ball Handler,Point-of-Attack,"6'0""",,,,,,,,,,,,,
,Lewis Okadoh,Borgomanero (ITA),?,Connector Big,Versatile Big,"6'8""",,,,,,,,,,,,,
,Maor Sela,Maccabi Tel Aviv (ISR),?,Connector Big,Paint Prescence,"6'8""",,,,,,,,,,,,,
,Marko Avdalovic,KK Mega (SRB),?,,,"6'8""",,,,,,,,,,,,,
,Markuss Jahovics,Klase (LAT),?,Combo Guard,,"6'5""",,,,,,,,,,,,,
,Mattia Sguazzin,Milano (ITA),?,,,"6'7""",,,,,,,,,,,,,
,Nikita Zhekel,Baskonia (POR),?,Primary Ball Handler,,"6'1""",,,,,,,,,,,,,
,Pau Escuert,Joventut (ESP),?,Primary Ball Handler,,"6'2""",,,,,,,,,,,,,
,Samson Nathan,New South Wales (AUS,?,,,"6'2""",,,,,,,,,,,,,
,Sergio Palau Lara,Valencia (ESP),?,Skilled Forward,,"6'6""",,,,,,,,,,,,,
,Stefan Tasic,Vic Metro (AUS),?,,,"6'7""",,,,,,,,,,,,,
,Tarik Muratovic,Gorcia (SRB),?,,,"6'4""",,,,,,,,,,,,,
,Yizhaojie Zhang,Shanghai Jiushi (CHN),?,Wing Handler,,"6'7""",,,,,,,,,,,,,
