"conferenceId","Team ID","Team Market","position","Player Height","Class Year","playerId","jerseyNum","fullName","Games Started","Games Played","Minutes Played","Assist Pct","Assist Pct %ile","Assist Ratio","Assist Ratio %ile","Turnover Pct","Turnover Pct %ile","Ast/Tov Ratio","Ast/Tov Ratio %ile","Usage Pct","Usage Pct %ile","True Shooting %","True Shooting % %ile","2-Point Pct","2-Point Pct %ile","3-Point Pct","3-Point Pct %ile","Free Throw Pct","Free Throw Pct %ile","Off Rebound Pct","Off Rebound Pct %ile","FT Attempt Rate","FT Attempt Rate %ile","3-Point Att Rate","3-Point Att Rate %ile"
"2","103266","Akron","G","76","Sophomore","2266043","4","Eric Mahaffey","10","32","710.91","0.11185","0.41","0.17827","0.63","0.12336","0.62","1.75862","0.73","0.16223","0.27","0.62591","0.94","0.59322","0.92","0.39683","0.87","0.75439","0.49","0.10511","0.99","0.31492","0.55","0.34807","0.27"
"2","103266","Akron","G","72","Sophomore","2266042","3","Sharron Young","11","32","606.26","0.12403","0.47","0.17777","0.63","0.10589","0.76","2.04167","0.83","0.18334","0.43","0.56022","0.67","0.5","0.63","0.34211","0.57","0.82143","0.75","0.04159","0.72","0.31461","0.55","0.64045","0.79"
"2","103266","Akron","G","76","Junior","2094971","21","Zach Halligan","22","32","360.07","0.06778","0.14","0.18085","0.65","0.1039","0.77","2.125","0.85","0.10476","0.03","0.58696","0.82","0.62963","0.96","0.29032","0.28","0.8","0.67","0.05306","0.83","0.43103","0.8","0.53448","0.62"
"2","103266","Akron","G","71","Senior","1949207","5","Tavari Johnson","33","33","1065.75","0.28198","0.94","0.21256","0.77","0.13906","0.48","1.94118","0.8","0.28155","0.94","0.62239","0.93","0.59233","0.91","0.37634","0.78","0.86777","0.89","0.02149","0.35","0.25581","0.37","0.39323","0.36"
"2","103266","Akron","G","75","Senior","1917732","15","Bowen Hardman","12","33","610.69","0.02031","0.01","0.03683","0.01","0.05735","0.98","0.66667","0.09","0.1682","0.31","0.62373","0.94","0.47059","0.46","0.4152","0.93","0.80952","0.7","0.0079","0.05","0.1117","0.06","0.90957","0.99"
"2","103266","Akron","G","78","Senior","1895929","12","Evan Mahaffey","33","33","955.41","0.18811","0.73","0.26201","0.89","0.1351","0.52","2.62791","0.94","0.16354","0.27","0.59027","0.84","0.61951","0.95","0.27907","0.24","0.56452","0.08","0.08327","0.97","0.25","0.35","0.17339","0.06"
"2","103266","Akron","G","74","Senior","1890656","1","Shammah Scott","11","33","896.15","0.16549","0.66","0.18592","0.67","0.09643","0.82","2.36842","0.9","0.21588","0.66","0.59393","0.85","0.4863","0.55","0.42703","0.95","0.77193","0.55","0.00538","0.02","0.17221","0.15","0.55891","0.67"
"87","103265","Air Force","G","75","Freshman","2505130","3","Kam Sanders","32","32","957.29","0.30515","0.96","0.2083","0.76","0.16091","0.32","1.63514","0.67","0.26038","0.89","0.51827","0.39","0.40488","0.19","0.35965","0.68","0.73026","0.39","0.01273","0.14","0.47649","0.86","0.35737","0.28"
"87","103265","Air Force","G","77","Freshman","2505122","15","Justin Hinds","3","29","334.34","0.08966","0.29","0.1591","0.54","0.23966","0.07","0.78947","0.14","0.12826","0.09","0.33167","0.01","0.375","0.12","0.16129","0.04","0.58333","0.09","0.02562","0.45","0.21818","0.27","0.56364","0.67"
"87","103265","Air Force","G","76","Freshman","2505121","21","Ethan Greenberg","29","32","861.52","0.08324","0.24","0.11865","0.31","0.14687","0.42","0.91667","0.21","0.15421","0.21","0.50454","0.31","0.42553","0.25","0.34211","0.57","0.65217","0.19","0.01698","0.23","0.11558","0.06","0.76382","0.93"
