Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
YGC,16U,Paxton Ivy,8,42,44,1.048,3,4,9.50%,0.75,15,20,35,42.90%,58.60%,58.40%,38,4,4,8,50.00%,11,16,27,40.70%,0.77,6,3,3,50.00%,7.10%,0.17,0,0.00%,40.50%,2,4.80%,13,4,9,7,1,1.75,1,1,0.03,8,3,7,0.14,32.8,0,0
Above the Rim,16U,Jonathan Raleigh,6,42,16,0.381,12,17,40.50%,0.71,8,16,24,33.30%,33.30%,32.20%,25,8,9,17,47.10%,0,7,7,0.00%,0.29,2,0,2,0.00%,2.40%,0.08,0,0.00%,19.00%,1,2.40%,27,6,21,5,13,0.29,6,3,0.13,11,6,6,1,10.3,0,0
Above the Rim,16U,Eric Figueroa,6,42,26,0.619,7,15,35.70%,0.47,11,15,26,42.30%,48.10%,47.60%,27,8,10,18,44.40%,3,5,8,37.50%,0.31,3,1,2,33.30%,4.80%,0.12,1,2.40%,28.60%,2,4.80%,29,7,22,1,12,0.07,5,1,0.04,6,5,5,1,15.3,0,0
YGC,16U,Amari Coleman,8,41,29,0.707,19,7,17.10%,2.71,9,18,27,33.30%,35.20%,44.30%,33,8,14,22,36.40%,1,4,5,20.00%,0.19,13,10,3,76.90%,17.10%,0.48,0,0.00%,36.60%,5,12.20%,23,11,12,16,4,2.29,1,5,0.19,17,10,10,0.1,42.8,0,0
Colorado Collective,16U,Obi Morris,4,41,38,0.927,14,11,26.80%,1.27,13,8,21,61.90%,64.30%,65.70%,29,12,5,17,70.60%,1,3,4,25.00%,0.19,18,11,7,61.10%,24.40%,0.86,1,2.40%,48.80%,7,17.10%,9,2,7,6,8,0.55,0,2,0.1,6,13,3,0,32.8,0,0
Nebraska Supreme,16U,Cade Walker,8,41,42,1.024,10,8,19.50%,1.25,16,13,29,55.20%,63.80%,63.70%,33,11,10,21,52.40%,5,3,8,62.50%,0.28,9,5,4,55.60%,12.20%,0.31,1,2.40%,48.80%,4,9.80%,14,7,7,3,6,0.38,1,0,0,4,6,7,0.14,33.4,0,0
MPJ Elite,16U,Nolan Struckmann,6,41,19,0.463,9,11,26.80%,0.82,5,19,24,20.80%,20.80%,32.00%,30,5,16,21,23.80%,0,3,3,0.00%,0.13,13,9,4,69.20%,17.10%,0.54,1,2.40%,24.40%,7,17.10%,46,12,34,4,6,0.36,1,3,0.13,5,9,8,0.13,18,0,0
Team Scoot,16U,Kendall Booker,7,41,39,0.951,7,9,22.00%,0.78,15,12,27,55.60%,57.40%,57.30%,34,14,11,25,56.00%,1,1,2,50.00%,0.07,16,8,8,50.00%,26.80%,0.59,2,4.90%,51.20%,6,14.60%,41,9,32,7,7,0.78,10,1,0.04,17,10,14,0.71,43.1,0,0
Jaylen Wells Elite,16U,Brett Smith,5,41,33,0.805,9,12,29.30%,0.75,12,13,25,48.00%,56.00%,57.00%,29,8,9,17,47.10%,4,4,8,50.00%,0.32,9,5,4,55.60%,14.60%,0.36,2,4.90%,36.60%,3,7.30%,25,4,21,4,10,0.33,1,0,0,5,9,4,0.25,25.2,0,0
Above the Rim,16U,Julius Kilson,6,41,19,0.463,7,10,24.40%,0.7,7,21,28,25.00%,28.60%,31.00%,31,5,15,20,25.00%,2,6,8,25.00%,0.29,6,3,3,50.00%,7.30%,0.21,0,0.00%,24.40%,3,7.30%,13,5,8,3,9,0.3,0,3,0.11,3,8,12,0,0,0,0
